Time,Packet ID,From Node,To Node,Port,Port Name,Payload
2026-03-14T18:00:35.742Z,3318438500,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T18:00:36.237Z,3318438502,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T18:00:36.952Z,2296573602,3562713424,4294967295,3,Position,"latitude_i: 374546613 longitude_i: -1221270850 altitude: 6455 time: 1773511236 location_source: LOC_INTERNAL timestamp: 1773511236 PDOP: 98 ground_speed: 82 ground_track: 15329000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:00:41.628Z,1480591608,1770353316,3562713424,70,Traceroute,""
2026-03-14T18:00:49.314Z,1859210915,3562713424,1770353316,70,Traceroute,"route: 279961614 route: 491816633 route: 1179853932 route: 272049934 route: 2697192551 snr_towards: 27 snr_towards: -29 snr_towards: -30 snr_towards: 16 snr_towards: -34 snr_towards: -52"
2026-03-14T18:00:53.187Z,3318438503,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T18:00:57.262Z,3318438504,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T18:00:58.489Z,3318438505,602477924,3562713424,70,Traceroute,""
2026-03-14T18:01:04.542Z,1055055525,3562713424,602477924,70,Traceroute,"route: 279961614 route: 491816633 route: 272049934 route: 2697192551 snr_towards: -38 snr_towards: -15 snr_towards: -35 snr_towards: -29 snr_towards: -46 route_back: 2687838116 snr_back: -16"
2026-03-14T18:01:08.030Z,3144369831,3562713424,4294967295,3,Position,"latitude_i: 374488931 longitude_i: -1221235500 altitude: 6530 time: 1773511267 location_source: LOC_INTERNAL timestamp: 1773511267 PDOP: 98 ground_speed: 95 ground_track: 15703000 sats_in_view: 20 precision_bits: 32"
